"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.min_delta","global_config.n_runs","global_config.patience","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-dataset","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-dataset","target-edges","target-nodes","target-transitivity","% Difference","-early-stopping-epoch","-training-loss","-validation-loss","source-classifier-accuracy","target-classifier-accuracy"
"triangle-k3-13","finished","-","niklasdewally","","2023-06-06T11:12:42.000Z","486","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","70.0208188757807","15","-9.174930572509766","7.116863250732422","0.44","0.7480916030534351"
"triangle-k3-12","finished","-","niklasdewally","","2023-06-06T11:03:37.000Z","543","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","17.97362942401109","30","-9.193349838256836","-1.1144812107086182","0.55","0.648854961832061"
"triangle-k3-11","finished","-","niklasdewally","","2023-06-06T10:54:17.000Z","558","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","28.565689031739662","34","-9.311262130737305","0.5709383487701416","0.57","0.732824427480916"
"triangle-k3-10","finished","-","niklasdewally","","2023-06-06T10:45:21.000Z","534","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","59.16842618158196","27","-9.225720405578612","35.950069427490234","0.47","0.7480916030534351"
"triangle-k3-9","finished","-","niklasdewally","","2023-06-06T10:37:14.000Z","485","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","52.67175572519083","15","-9.22146224975586","8.085823059082031","0.52","0.7938931297709924"
"triangle-k3-8","finished","-","niklasdewally","","2023-06-06T10:27:40.000Z","572","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","65.39440203562343","37","-9.22010612487793","1.0337504148483276","0.42","0.6946564885496184"
"triangle-k3-7","finished","-","niklasdewally","","2023-06-06T10:19:16.000Z","502","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","37.67720828789528","19","-9.212200164794922","-1.122154951095581","0.56","0.7709923664122137"
"triangle-k3-6","finished","-","niklasdewally","","2023-06-06T10:10:03.000Z","551","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","25.140783381303976","32","-9.18091106414795","-1.142375946044922","0.61","0.7633587786259542"
"triangle-k3-5","finished","-","niklasdewally","","2023-06-06T10:01:45.000Z","496","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","32.2246455834242","18","-9.28709316253662","-1.1374287605285645","0.56","0.7404580152671756"
"triangle-k3-4","finished","-","niklasdewally","","2023-06-06T09:53:20.000Z","503","","0.01","50","100","32","0.01","20","10","3","triangle","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","43.51145038167938","19","-9.1924409866333","19.925012588500977","0.5","0.7175572519083969"
